Canton,German-name,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_growth_2013,gdp_growth_2014,gdp_growth_2015,gdp_growth_2016,gdp_growth_2017,gdp_growth_2018,gdp_growth_2019,gdp_growth_2020,gdp_growth_2021,gdp_growth_2022,gdp_per_cap_2013,gdp_per_cap_2014,gdp_per_cap_2015,gdp_per_cap_2016,gdp_per_cap_2017,gdp_per_cap_2018,gdp_per_cap_2019,gdp_per_cap_2020,gdp_per_cap_2021,gdp_per_cap_2022,motorization_2013,motorization_2014,motorization_2015,motorization_2016,motorization_2017,motorization_2018,motorization_2019,motorization_2020,motorization_2021,motorization_2022,motorization_2023,pop_2013,employed_total_2013,employed_noncommuters_2013,employed_commuters_2013,trainers_commuters_2013,pop_2014,employed_total_2014,employed_noncommuters_2014,employed_commuters_2014,trainers_commuters_2014,pop_2015,employed_total_2015,employed_noncommuters_2015,employed_commuters_2015,trainers_commuters_2015,pop_2016,employed_total_2016,employed_noncommuters_2016,employed_commuters_2016,trainers_commuters_2016,pop_2017,employed_total_2017,employed_noncommuters_2017,employed_commuters_2017,trainers_commuters_2017,pop_2018,employed_total_2018,employed_noncommuters_2018,employed_commuters_2018,trainers_commuters_2018,pop_2019,employed_total_2019,employed_noncommuters_2019,employed_commuters_2019,trainers_commuters_2019,pop_2020,employed_total_2020,employed_noncommuters_2020,employed_commuters_2020,trainers_commuters_2020,pop_2021,employed_total_2021,employed_noncommuters_2021,employed_commuters_2021,trainers_commuters_2021,pop_2022,employed_total_2022,employed_noncommuters_2022,employed_commuters_2022,trainers_commuters_2022
Aargau,Aargau,"41,229","41,857","41,593","42,132","42,759","43,687","44,509","44,108","44,938","47,538",1.9,1.6,-0.5,1.5,1.4,1.4,1.2,-1.2,-0.4,1.6,65251.41,65318,64040.47,63974.68,64084.08,64760.3,65260.34,63928.76,64328.3,67224.22,581.4566,583.3519,585.9158,589.9598,588.5627,588.7408,588.8158,589.6624,591.4069,587.3904,587.3541,"532,007","349,487","30,146","319,341","62,583","539,723","355,089","31,637","323,452","61,877","546,906","357,540","31,987","325,553","63,287","553,530","360,801","33,704",327096,"63,188",559 727,365 004,34 060,330 945,64 034,565 764,357 611,58 418,299 192,60 370,571 882,363 842,62 789,301 053,54 222,579 030,361 970,70 990,290 979,53 010,586 232,368 870,75 985,292 886,56 061,592 754,374 277,77 656,296 621,56 666
Appenzell A. Rh.,Appenzell A. Rh.,"3,054","3,100","3,128","3,148","3,113","3,201","3,255","3,414","3,598","3,749",3.2,2.1,2.6,1.3,-0.6,2.6,1.5,4.4,4.2,2.4,57016.45,57529.06,57596.81,57496.55,56525.2,57983.56,58809.88,61658.44,64886.47,67340.83,555.7094,564.5639,571.0639,574.6842,578.8842,580.1044,579.4981,580.0523,587.2643,582.7292,580.2113,"44,898","29,367","3,338","26,030","5,531","45,311","30,160","3,157","27,002","5,744","45,626","29,934","3,216","26,718","6,214","45,911","29,702","2,777",26925,"5,655",46 019,29 548,3 419,26 128,5 000,45 961,28 982,5 484,23 499,4 788,45 950,28 475,4 725,23 750,4 402,45 829,28 178,5 542,22 635,4 019,45 965,28 433,5 488,22 944,4 846,46 088,29 336,6 031,23 305,4 141
Appenzell I. Rh.,Appenzell I. Rh.,945,985,992,"1,009","1,003","1,034","1,047","1,043","1,157","1,238",3.1,4.9,2,2.3,-0.3,2.8,0.6,-0.6,9.3,4,60022.56,62290.25,62349.77,63088.11,62463.22,64132.89,64876.5,64336.08,70891.69,75525.91,560.4123,567.3089,583.1967,591.9619,600.0125,604.5328,608.9811,616.1334,628.6749,629.5844,633.7719,"12,962","8,874","-1,121","7,753","-1,507","13,088","9,135","-1,121","7,872","-1,556","13,179","8,900",-743,"8,156","2,040","13,178","8,548","1,085",7462,"1,644",13 295,8 535,-789,7 745,1 727,13 353,8 820,1 391,7 429,"-1,521",13 270,8 300,(1 537),6 763,(1 482),13 428,8 574,(1 479),7 095,(1 375),13 485,9 221,(1 647),7 574,(1 129),13 538,8 667,(1 728),6 939,(1 715)
Basel-Landschaft,Basel-Landschaft,"19,331","19,948","20,327","20,436","20,729","20,819","20,816","20,464","21,616","22,812",1.3,3.7,3.6,1,0.9,-0.5,-0.2,-1.8,2.1,0.8,69638.2,71249.33,72014.32,71848.64,72396.94,72395.95,72078.23,70512.8,74053.09,77692.92,514.2965,515.3164,515.4727,517.7082,516.7983,517.0666,518.0369,519.3907,521.7222,519.963,519.8171,"235,396","141,590","12,735","128,855","26,657","237,626","141,157","13,395","127,762","26,946","239,045","142,491","13,288","129,204","27,368","240,860","142,824","14,021",128802,"26,964",241 873,143 229,14 304,128 925,28 555,242 458,141 301,23 974,117 327,26 604,243 491,138 470,23 766,114 704,24 272,244 953,138 226,26 745,111 481,23 996,246 225,141 156,30 823,110 333,25 059,247 485,142 516,28 023,114 493,24 431
Basel-Stadt,Basel-Stadt,"31,235","32,097","32,764","35,204","36,876","38,110","38,317","37,706","40,026","41,203",2.1,4.2,3.9,8.7,5.7,2.6,2.9,-0.8,6.6,1.6,165806.2,168966.8,171363.2,182931.8,190585.6,196103.7,196189.1,192091.5,203812.4,209781.8,356.4359,354.018,344.9523,343.8486,342.5856,341.1876,337.0403,329.3642,329.0619,325.1138,324.1796,"159,972","92,079","8,404","83,675","18,815","161,226","94,249","9,648","84,601","18,870","161,831","94,986","9,641","85,345","19,840","162,649","96,637","10,437",86200,"19,978",163 014,97 799,9 835,87 964,21 528,163 051,92 726,15 331,77 395,19 701,162 990,95 186,15 598,79 589,16 858,163 030,93 838,21 980,71 857,17 305,164 399,95 651,23 994,71 658,18 528,165 064,97 131,19 928,77 203,17 859
Berne,Bern,"77,332","78,706","78,524","78,337","78,903","80,776","82,366","80,589","85,141","89,362",1.6,2,0.2,0.5,0.9,1.5,1.6,-1.9,4.4,2.5,77568.24,78287.02,77481.89,76650.63,76692.96,78191.45,79409.64,77392.62,81450.61,85151.01,508.5712,511.4129,515.0004,518.2783,518.1507,519.2681,519.8231,520.9673,524.7311,522.712,524.1303,"840,897","539,404","52,897","486,507","94,225","847,849","544,519","52,785","491,734","95,834","854,618","545,533","54,248","491,284","98,032","859,534","544,095","55,955",488140,"97,303",863 405,552 365,57 040,495 325,97 812,866 007,536 247,91 728,444 519,92 162,868 970,540 504,94 389,446 115,83 031,872 578,533 040,100 752,432 288,80 184,875 658,543 600,114 295,429 305,84 388,879 250,550 902,108 022,442 880,84 790
Fribourg,Freiburg,"17,653","18,139","18,258","18,289","18,627","19,066","19,460","18,886","20,277","21,424",4.6,3.2,2.3,1,2,1.7,2,-2.9,5.7,3.1,59940.15,60364.19,59779.17,59057.39,59418.14,60166.2,60764.24,58356.55,61885.07,64502.43,577.6424,578.6254,581.7649,586.1891,588.9865,591.4287,590.9368,593.2368,595.5914,593.0971,592.8572,"240,899","155,606","16,563","139,044","32,823","246,170","158,837","16,316","142,521","34,007","250,113","160,858","16,825","144,034","33,756","253,558","164,269","17,725",146544,"33,542",256 724,166 936,17 241,149 695,34 968,259 778,163 116,29 169,133 946,32 479,262 654,163 495,29 044,134 451,31 051,266 093,164 758,30 429,134 329,30 860,269 596,169 532,33 321,136 211,31 614,273 360,172 405,31 923,140 482,29 173
Geneva,Genf,"50,197","50,311","50,042","50,365","51,443","53,900","54,591","52,016","56,229","61,231",1.7,0.8,1,0.9,2,3.6,1.8,-2.9,5.2,4.1,107656.4,106274.9,104024.9,103391,104477.9,108371.2,108789.9,102953.7,110709.5,119643.6,473.4928,467.8751,463.2383,457.4799,452.9175,445.2124,438.8945,434.3183,430.2341,423.6232,418.1894,"356,753","197,973","19,248","178,725","49,437","360,792","202,997","19,716","183,281","50,448","369,577","206,379","19,922","186,457","51,489","376,720","207,949","20,633",187316,"53,442",382 408,212 181,22 899,189 282,56 015,385 289,207 644,37 347,170 296,50 991,389 107,212 133,39 928,172 205,48 229,389 521,204 223,44 252,159 970,44 413,391 076,209 269,47 704,161 566,48 565,392 800,212 017,42 165,169 852,46 978
Glarus,Glarus,"2,681","2,720","2,736","2,719","2,829","2,790","2,891","2,774","2,988","3,118",4,1.7,0.9,-0.1,4,-1.7,3.1,-4.2,7.1,1.8,67904.02,68513.11,68557.41,67824.13,70284.45,69103.42,71394.83,68122.34,72844.16,75429.85,564.5305,570.1008,578.3033,580.3687,585.4734,586.3095,588.3969,591.4757,596.1421,589.8762,594.0778,"32,970","21,300","-1,548","19,752","3,933","33,297","22,065","2,089","19,976","3,986","33,591","21,965","-1,494","20,471","3,883","33,735","21,346","1,855",19490,"3,856",33 877,22 403,2 078,20 324,3 629,33 924,21 022,4 063,16 959,3 372,33 983,21 596,3 056,18 540,3 197,34 154,20 986,4 202,16 783,3 103,34 426,21 369,4 143,17 226,3 140,34 613,21 461,4 061,17 400,2 786
Graubünden,Graubünden,"14,029","14,126","14,012","14,101","14,132","14,501","14,937","14,627","15,542","16,726",2.3,0.9,-1.9,0.8,0.6,2.4,2.5,-3,5.4,4.9,72148.95,72283.42,71398.06,71547.15,71473.48,73188.77,75173.63,73297.28,77425.1,82817.28,546.6481,552.2289,557.7836,563.1758,568.0739,572.5461,574.5417,576.9441,582.7953,580.3025,582.4783,"165,927","106,951","10,580","96,370","18,977","167,111","107,509","12,032","95,476","19,083","167,918","107,984","10,787","97,196","18,945","168,482","107,731","11,146",96586,"18,265",168 961,109 473,10 933,98 540,18 769,169 268,104 075,17 331,86 745,17 056,170 045,106 782,19 842,86 939,15 638,171 221,103 723,17 389,86 334,14 960,172 108,106 333,20 635,85 698,15 532,172 987,107 517,20 147,87 369,16 112
